Day,Sleep,Work,Class,Debate,Voyager,Clubs,Internship,Competitions,Research,Recruiting,Blogging,Tutoring,FoShoTrans,Exercise,Reading,Social,Planning,Meditate,Media,Mood,
12/23/2020,8.5,4,0,0,0,0.25,0,0,0,2.5,1.25,0,2.5,1.5,0.5,4.75,1,0.25,1,7,24
12/24/2020,8.5,5.5,0,0,0,0,0,0,0,0,5.5,0,1.5,2.5,0.25,1.5,3.5,0.25,0.5,7,24
12/25/2020,8.75,7.75,0,0,0,0,0,0,0,0,7.75,0,1.5,0.75,0.25,0.5,0.75,0.25,3.5,8,24
12/26/2020,11.25,7,0,2.25,0.25,2,0,0,0,0,2.5,0,2,1.5,0.25,0,0.75,0.25,1,6,24
12/27/2020,10,7.75,0,5.5,0,1.5,0,0,0,0,0.75,0,1.25,1.75,0.25,1,0,0.25,1.75,7,24
12/28/2020,9,5.5,0,2,3.25,0,0,0,0,0,0.25,0,4,2.5,0.25,2,0.5,0.25,0,5,24
12/29/2020,8.25,8.75,0,2.5,6.25,0,0,0,0,0,0,0,1.75,2,0.25,0,1,0.25,1.75,6,24
12/30/2020,11,7,0,0,4.5,0,0,0,0,0,2.5,0,2.5,2.25,0.25,0,0.75,0.25,0,5,24
12/31/2020,6.5,6.5,0,0,0,0,0,0,0,2.25,4.25,0,1.75,3,0.25,2.5,1.5,0.25,1.75,8,24
1/1/2021,7.25,9.75,0,3.5,0,0,0,0,0,0,6.25,0,1.75,2,0.75,0.5,1.5,0.25,0.25,9,24
1/2/2021,10.5,4.5,0,0.5,0.5,3.5,0,0,0,0,0,0,1.75,1.75,1.25,2.25,0.75,0.25,1,7,24
1/3/2021,6,8,0,3,2.75,0.5,0,0,0,0,1.75,0,3,1.25,2,2.25,0.25,0.25,1,8,24
1/4/2021,7.5,7.75,0,1.25,0,5.75,0,0,0,0,0.75,0,2.75,2,0.75,3,0,0.25,0,8,24
1/5/2021,7.75,11.25,0,3,2.25,5.5,0,0,0,0,0.5,0,2,1.5,1,0,0.25,0.25,0,9,24
1/6/2021,7,10.5,0,1,2.25,1,0,0,0,0,5.5,0.75,2.25,1.75,1,0.75,0.25,0.25,0.25,6,24
1/7/2021,9,7.5,0,1.75,0,0,0,0,0,2.25,3.5,0,1.75,0.5,1,2.75,0.5,0.25,0.75,5,24
1/8/2021,8,7,0,3.75,0,0,0,0,0,0,2.75,0.5,1.75,1.75,3.75,0.5,0.25,0.25,0.75,5,24
1/9/2021,8.75,9,0,3.5,0,0,0,0,0,1,4.5,0,2.5,1.5,0.75,1,0,0,0.5,6,24
1/10/2021,8.25,6.5,0,1.75,1,0,0,0,0,0,3.75,0,2.5,2,0.5,1.5,0.25,0.5,2,6,24
1/11/2021,9,8.75,0,0.5,1,0,0,0,0,0,6.5,0.75,2.75,2.25,0.75,0,0.25,0.25,0,7,24
1/12/2021,9,6.75,0,1.75,0.75,0,0,0,0,1.5,2.25,0.5,1.75,0.5,0.75,4,0.5,0.25,0.5,7,24
1/13/2021,8.75,5,0,1.5,0.25,0,0,0,0,1,2.25,0,2,3.25,2,1.5,0.25,0.25,1,7,24
1/14/2021,8.75,11.25,0,4.75,2.5,0.5,0,0,0,0,3.25,0.25,1.75,1.75,0,0,0.25,0.25,0,8,24
1/15/2021,8,10.75,0.25,3.75,2.75,0.75,0,0,0,2,1.25,0,1.75,1,1.75,0,0.25,0.25,0.25,8,24
1/16/2021,8.25,10.5,0,8.75,0.5,0,0,0,0,0,1.25,0,1.75,1.25,1.5,0,0.25,0,0.5,4,24
1/17/2021,8.25,11,0,10,1,0,0,0,0,0,0,0,1.5,0.75,0,1.5,0,0.25,0.75,6,24
1/18/2021,7.25,10.25,0,6.75,2.5,0.75,0,0,0,0,0,0.25,2.25,1,1,0,0.25,0.25,1.75,7,24
1/19/2021,11,8.5,3.25,3,0.75,0,0,0,0,0,0,1.5,1.75,1.25,0.25,0,0.25,0.25,0.75,6,24
1/20/2021,8.25,8.5,1,4.5,0,0,1,0,0,0,0,2,1.75,1.75,2.75,0,0,0.25,0.75,6,24
1/21/2021,7.75,9.25,0,2.5,2.25,0,0,0,0,0,4.5,0,1.5,0.75,1,1.5,0.25,0.25,1.75,4,24
1/22/2021,8,9.75,0.75,0,5.5,0,0,0,0,1,0.75,1.75,1.25,2,1.25,0,0.25,0.25,1.25,6,24
1/23/2021,8.25,8.75,5.5,0.75,1,0.25,0,0,0,1,0,0.25,1.5,1.5,1,2,0.5,0.25,0.25,5,24
1/24/2021,6.75,11,0,5,2,0,0,0,0,3.75,0.25,0,1.75,1,2,0,0.25,0.25,1,6,24
1/25/2021,9.25,12.25,4.25,2,2.5,0.5,0,0,0.25,0,0,2.75,1.25,0.5,0.25,0.25,0.25,0,0,8,24
1/26/2021,7.5,11.25,1,2.75,3.5,0,0,0,0,0,3.25,0.75,1.75,0.75,1,1,0.25,0.25,0.25,6,24
1/27/2021,7,13.75,1,1,8.25,0,0,0,0,2,0,1.5,1.25,0,1.25,0.5,0,0,0.25,7,24
1/28/2021,9.25,10.75,0.5,4.75,2.5,0,0.25,0,1,1,0,0.75,1.25,1,0.25,0.5,0.25,0,0.75,6,24
1/29/2021,8.5,12,0.25,1.5,2.25,0,1.75,0,0,4.5,0,1.75,1.25,0.25,0.5,0.5,0.25,0.25,0.5,8,24
1/30/2021,6.5,13.25,0,0.25,13,0,0,0,0,0,0,0,2.25,0.5,0.5,0.5,0,0,0.5,7,24
1/31/2021,6.5,13,4,3,4.5,0,0,0,0,1.5,0,0,1.5,0.25,0.25,1,0,0,1.5,5,24
2/1/2021,8.75,10.25,2,2,3,0,0,0,1.25,0.75,0.25,1,2,0,0.75,1,0.25,0.25,0.75,5,24
2/2/2021,8.25,11.5,4.5,1.5,5.5,0,0,0,0,0,0,0,0.5,0.5,1,0.75,0.25,0.25,1,6,24
2/3/2021,6.5,11.75,1.25,0,7.25,0,0,1.25,0,2,0,0,1.75,0.5,2,0,0.25,0.25,1,6,24
2/4/2021,7.25,8.5,0,1.5,5.25,0,0.5,0.75,0,0,0,0.5,1.5,1.5,3,1.25,0.75,0.25,0,5,24
2/5/2021,6.75,11.5,0,2.5,4.25,0,0,2.5,0,0.75,0,1.5,1,1,2.5,0,0.25,0.25,0.75,6,24
2/6/2021,4,16,1.25,0,6,0,0,8.75,0,0,0,0,0.75,0,0,2.75,0.25,0,0.25,8,24
2/7/2021,8.75,9,3.5,3.25,0,0,0,0,0,1.5,0,0.75,2,1.25,1.25,0.75,0.25,0.25,0.5,6,24
2/8/2021,8.5,8.5,5.5,0,0,0,0,0.5,1,0,0,1.5,0.75,1.25,3.25,0.5,0.25,0.25,0.75,9,24
2/9/2021,9,10,5,3,0,0,0,1,0.5,0,0.5,0,1.5,0.75,1.25,1,0,0.25,0.25,10,24
2/10/2021,7.25,8.5,4,1,0,0,0,0.25,2.5,0.75,0,0,2,1.5,0.5,2.75,0.25,0.25,1,8,24
2/11/2021,8.75,11.25,1.75,2.5,0,0,0.25,3.25,0.5,1.25,0,1.75,1,0.75,1,0.25,0.5,0.25,0.25,6,24
2/12/2021,8,12.5,3,3,0,0,0,3.75,1.75,0,1,0,1,0.75,0.75,0.25,0.25,0.25,0.25,7,24
2/13/2021,7.25,12,0,2.75,0,0,0,8,0,0,1.25,0,1,0,1.75,1.25,0,0.5,0.25,8,24
2/14/2021,5.5,12.5,3,9.5,0,0,0,0,0,0,0,0,2,1.5,0.5,1.75,0,0,0.25,7,24
2/15/2021,9,8,4,0,0,0.5,0,0,0,0,3,0.5,1,1.75,2.25,0,0,0.25,1.75,5,24
2/16/2021,10,9.25,3.25,0.5,0,0,1,0,4.25,0.25,0,0,1.75,1.25,0.5,1,0,0,0.25,5,24
2/17/2021,7.75,9.75,0.5,1.75,0,2.25,0,0.75,1.75,0,1.5,1.25,2.5,1.5,0.75,1,0.25,0.25,0.25,7,24
2/18/2021,8.5,12,5.75,2.75,1,1,0,0.5,0.75,0.25,0,0,1,0.5,0,0,0.25,0.25,1.5,8,24
2/19/2021,5.25,7.75,0,0,1.5,0,0,0,4.75,0.25,1.25,0,2.25,1.75,0.25,3.75,2.5,0.25,0.25,7,24
2/20/2021,12.25,3.25,2.75,0,0,0,0,0,0,0.5,0,0,2.25,1.25,1,1.5,1.75,0.25,0.5,4,24
2/21/2021,6.75,10.25,2.25,4,2,0,0,0,1.25,0,0.75,0,1.75,1.25,0.75,2.25,0.5,0.25,0.25,8,24
2/22/2021,9,10.75,4.5,2.5,2,0,0,0,0,0.75,0,1,1.25,1.25,0.5,0,1,0.25,0,8,24
2/23/2021,7.25,10,3,4,1.5,0,0,0,0,0,1.5,0,1.5,1.75,1.75,0.5,0.5,0.25,0.5,7,24
